id,property_type,prop_type_simp,number_of_reviews,review_scores_rating,cleaning_fee,price,price_3_nights
20847,House,House,138,94,100,41,223
25341,House,House,107,96,100,65,295
25342,House,House,5,93,100,70,310
37306,House,House,117,99,0,125,375
39870,House,House,238,99,0,55,165
65448,Loft,Other,35,91,80,272,896
72906,Apartment,Apartment,587,98,25,90,295
125579,House,House,206,94,95,125,470
136015,Apartment,Apartment,50,97,35,96,323
258817,House,House,95,95,50,29,137
280842,House,House,178,98,35,135,440
289242,House,House,76,94,50,25,125
319705,House,House,47,95,50,40,170
329997,Guesthouse,Other,885,98,35,55,200
340081,House,House,76,97,50,25,125
366339,House,House,70,98,100,250,850
371066,House,House,346,100,30,89,297
395889,House,House,218,97,0,95,285
421290,Guest suite,Other,703,99,35,55,200
430052,Guest suite,Other,696,99,35,55,200
431258,House,House,411,97,95,150,545
475134,Apartment,Apartment,119,96,50,137,461
609655,House,House,271,99,25,99,322
632636,Apartment,Apartment,227,100,50,125,425
634515,Condominium,Condominium,128,97,80,99,377
645985,House,House,47,97,30,35,135
648088,Cottage,Other,364,97,50,115,395
674159,Guest suite,Other,245,98,15,147,456
681880,Guesthouse,Other,541,99,25,89,292
686218,House,House,31,100,50,139,467
747429,House,House,55,93,150,295,1035
775235,House,House,61,98,100,60,280
914787,Apartment,Apartment,268,94,75,175,600
1006989,Guest suite,Other,408,100,25,85,280
1009550,Guest suite,Other,190,99,55,110,385
1039298,Guest suite,Other,74,99,60,79,297
1065775,House,House,15,100,50,100,350
1130166,Guest suite,Other,350,100,20,100,320
1150709,Condominium,Condominium,543,93,20,159,497
1209395,Condominium,Condominium,154,98,70,85,325
1278810,Cabin,Other,138,98,145,525,1720
1300996,House,House,355,98,60,90,330
1340955,House,House,435,98,65,169,572
1376970,House,House,134,93,50,89,317
1386270,House,House,432,98,10,50,160
1399012,Apartment,Apartment,364,92,50,138,464
1428018,House,House,251,99,25,105,340
1468175,House,House,140,91,45,75,270
1469884,House,House,76,88,39,65,234
1476349,Loft,Other,154,94,75,90,345
1537921,Guesthouse,Other,176,98,65,119,422
1550764,Guest suite,Other,550,98,35,55,200
1557535,House,House,59,99,150,645,2085
1583339,House,House,42,97,100,350,1150
1583557,House,House,86,97,50,120,410
1584280,Guesthouse,Other,309,97,35,86,293
1587240,House,House,122,99,25,70,235
1625117,Apartment,Apartment,247,85,20,99,317
1637070,Cottage,Other,221,97,0,75,225
1644990,Apartment,Apartment,488,99,0,125,375
1648311,Apartment,Apartment,39,91,150,300,1050
1661560,Apartment,Apartment,103,98,80,165,575
1709396,House,House,21,94,120,385,1275
1714215,House,House,8,98,35,28,119
1793477,Guest suite,Other,426,99,30,99,327
1801399,House,House,56,99,0,110,330
1842910,Apartment,Apartment,255,98,60,90,330
1844680,House,House,162,98,10,60,190
1857152,House,House,318,99,0,55,165
1885504,Apartment,Apartment,145,95,65,97,356
1906253,Loft,Other,35,92,80,189,647
1951714,House,House,7,97,500,500,2000
1952604,Apartment,Apartment,5,96,350,83,599
1984644,Apartment,Apartment,161,97,50,79,287
2010018,House,House,290,97,150,426,1428
2022417,Guesthouse,Other,237,98,0,165,495
2071080,House,House,3,100,0,100,300
2082627,Loft,Other,23,93,80,259,857
2083878,Guest suite,Other,430,97,65,110,395
2138177,Guest suite,Other,347,99,40,115,385
2140341,Loft,Other,175,97,75,149,522
2172240,House,House,554,97,0,58,174
2181743,Apartment,Apartment,292,99,85,135,490
2192163,House,House,38,99,25,79,262
2203929,Loft,Other,44,94,100,317,1051
2216697,Apartment,Apartment,312,87,50,130,440
2227650,Loft,Other,31,87,115,289,982
2247632,House,House,128,97,175,355,1240
2261942,Bungalow,Other,492,98,0,83,249
2273933,House,House,4,100,150,550,1800
2289868,Guesthouse,Other,520,99,40,120,400
2316288,House,House,213,99,130,349,1177
2372334,House,House,45,99,25,70,235
2383365,Apartment,Apartment,355,94,50,130,440
2396505,House,House,52,100,200,585,1955
2400986,Loft,Other,23,92,80,262,866
2430070,Bungalow,Other,96,99,75,122,441
2473234,Guest suite,Other,104,99,70,60,250
2479230,Apartment,Apartment,87,99,80,88,344
2560751,House,House,194,97,160,135,565
2577619,House,House,99,95,250,646,2188
2581896,Apartment,Apartment,212,99,65,99,362
2599447,House,House,21,99,150,400,1350
2608052,House,House,116,99,180,400,1380
2666769,House,House,457,99,75,88,339
2687266,Bungalow,Other,306,97,85,149,532
2694882,Apartment,Apartment,223,99,65,99,362
2699594,Condominium,Condominium,144,98,120,399,1317
2710049,House,House,9,100,50,28,134
2726453,House,House,131,96,95,99,392
2743820,House,House,81,94,150,100,450
2748427,Guest suite,Other,466,97,39,99,336
2762501,House,House,26,99,0,450,1350
2811765,Bungalow,Other,5,100,100,350,1150
2824336,House,House,127,98,150,499,1647
2874811,Bungalow,Other,150,99,75,84,327
2881237,Apartment,Apartment,135,96,125,228,809
2882505,Bungalow,Other,601,98,40,100,340
2906397,House,House,32,95,200,799,2597
2906844,Guesthouse,Other,360,98,75,120,435
2908364,House,House,21,99,196,650,2146
2931998,Bungalow,Other,81,99,90,195,675
2943912,House,House,49,96,100,250,850
2950152,House,House,380,96,70,179,607
2984307,Bungalow,Other,320,98,65,69,272
2989603,Condominium,Condominium,86,90,75,148,519
3005865,Guest suite,Other,23,96,50,150,500
3021231,House,House,150,99,140,195,725
3043332,Guest suite,Other,254,97,50,70,260
3052313,House,House,8,100,200,400,1400
3056884,Guesthouse,Other,4,100,50,275,875
3072413,House,House,59,95,40,90,310
3076383,House,House,81,98,180,372,1296
3095791,Apartment,Apartment,51,94,0,60,180
3107569,House,House,104,96,300,600,2100
3121821,Loft,Other,678,99,15,95,300
3123909,House,House,104,98,125,489,1592
3158038,House,House,17,98,179,525,1754
3200462,Bungalow,Other,175,91,35,132,431
3206885,Cottage,Other,63,99,110,369,1217
3215996,House,House,292,97,80,141,503
3231144,Apartment,Apartment,8,97,60,99,357
3258026,House,House,37,98,150,625,2025
3275310,House,House,54,99,200,224,872
3278713,Loft,Other,325,97,70,220,730
3328710,Apartment,Apartment,6,95,75,160,555
3344930,Condominium,Condominium,349,98,140,250,890
3379848,Guest suite,Other,72,100,55,120,415
3398939,Condominium,Condominium,280,95,90,115,435
3405468,House,House,41,99,125,385,1280
3456593,Bungalow,Other,106,99,100,150,550
3533639,Condominium,Condominium,110,97,65,59,242
3550048,House,House,140,93,185,135,590
3571432,Apartment,Apartment,567,91,50,120,410
3576806,House,House,32,100,100,225,775
3578360,House,House,56,95,75,120,435
3595967,House,House,45,99,150,375,1275
3615228,Guest suite,Other,51,96,50,55,215
3643239,Hostel,Other,139,92,10,120,370
3648549,Apartment,Apartment,105,99,65,97,356
3686152,House,House,184,99,130,390,1300
3688613,Apartment,Apartment,324,99,100,52,256
3694888,Apartment,Apartment,455,96,35,149,482
3696753,Condominium,Condominium,223,99,100,175,625
3697561,Bungalow,Other,227,98,25,100,325
3701508,House,House,136,97,35,125,410
3703925,Guesthouse,Other,411,96,25,120,385
3704256,House,House,106,98,75,125,450
3710914,House,House,313,98,49,167,550
3717911,Hostel,Other,496,95,10,35,115
3740462,Apartment,Apartment,271,98,50,99,347
3741091,House,House,218,99,120,400,1320
3742359,House,House,256,98,55,99,352
3742727,House,House,53,97,100,175,625
3760692,Bungalow,Other,201,99,20,100,320
3793659,House,House,125,99,150,489,1617
3811909,House,House,247,99,50,107,371
3861690,Apartment,Apartment,150,98,50,105,365
3867817,House,House,8,98,350,229,1037
3905148,House,House,360,100,25,100,325
3907104,House,House,67,97,100,135,505
3912357,Guest suite,Other,322,96,50,85,305
3938837,House,House,39,97,90,150,540
3952633,Apartment,Apartment,24,99,200,125,575
3976359,Hostel,Other,165,95,75,200,675
4014533,House,House,108,87,0,190,570
4033107,Apartment,Apartment,85,95,25,132,421
4033674,Apartment,Apartment,554,93,39,75,264
4047679,Apartment,Apartment,94,98,75,64,267
4067086,House,House,518,94,64,156,532
4097387,Bungalow,Other,55,97,40,85,295
4100639,Condominium,Condominium,241,94,90,113,429
4104688,Condominium,Condominium,31,99,75,319,1032
4111804,House,House,27,99,25,75,250
4169295,House,House,60,97,295,899,2992
4170603,Condominium,Condominium,246,95,75,116,423
4178988,Other,Other,535,99,75,90,345
4197716,Apartment,Apartment,470,97,78,130,468
4227049,House,House,65,98,95,295,980
4252199,House,House,299,97,150,303,1059
4257414,Loft,Other,116,99,150,550,1800
4258125,Condominium,Condominium,19,95,75,309,1002
4258396,House,House,49,99,125,234,827
4258496,House,House,81,98,0,79,237
4266652,Condominium,Condominium,21,86,100,58,274
4268186,Bungalow,Other,131,100,75,280,915
4275484,House,House,210,93,150,175,675
4302855,House,House,104,100,170,300,1070
4303083,House,House,113,98,170,323,1139
4338237,Apartment,Apartment,23,89,89,999,3086
4351066,Apartment,Apartment,306,93,60,69,267
4354794,Condominium,Condominium,292,96,75,125,450
4387520,House,House,114,97,100,125,475
4395411,Apartment,Apartment,11,93,89,999,3086
4404303,Apartment,Apartment,290,99,79,109,406
4436799,Apartment,Apartment,502,91,55,73,274
4438136,Apartment,Apartment,162,100,59,198,653
4474214,House,House,199,95,75,140,495
4476315,Villa,Other,263,99,75,76,303
4476814,Cottage,Other,23,95,125,100,425
4485271,Apartment,Apartment,130,94,65,145,500
4490882,Apartment,Apartment,25,98,150,125,525
4491931,House,House,186,95,39,139,456
4494569,House,House,81,98,260,500,1760
4511965,Apartment,Apartment,14,100,130,200,730
4531756,House,House,14,99,250,499,1747
4557628,Apartment,Apartment,2,100,65,80,305
4559286,House,House,137,97,0,76,228
4563970,House,House,18,100,120,105,435
4575694,Guest suite,Other,359,98,55,139,472
4582359,House,House,358,95,35,95,320
4589829,House,House,432,100,40,95,325
4604518,House,House,177,99,125,317,1076
4621726,House,House,95,99,100,125,475
4625481,Condominium,Condominium,79,97,80,185,635
4636392,House,House,15,97,15,89,282
4645686,House,House,197,95,100,150,550
4649087,Apartment,Apartment,4,95,75,115,420
4688417,House,House,24,97,50,240,770
4688669,Condominium,Condominium,41,93,89,169,596
4691716,House,House,232,100,75,125,450
4693349,Bungalow,Other,361,96,60,115,405
4786007,Loft,Other,162,99,75,62,261
4787052,Loft,Other,334,99,40,111,373
4796367,House,House,77,96,100,200,700
4806588,Condominium,Condominium,266,93,90,115,435
4809998,House,House,85,99,115,150,565
4810344,Guest suite,Other,165,98,90,125,465
4814184,House,House,19,99,75,125,450
4857128,Guest suite,Other,268,98,0,85,255
4861360,Apartment,Apartment,51,100,85,190,655
